                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8328,                 1.7653,                 1.8169,                 0.6909,                0.51818,                0.55795,                 0.3274,                 1.5577,                 2.3937,                 1.5125,             0.00066422,             0.00066422,             0.00066422
                      1,                 1.8219,                 1.5692,                 1.7937,                0.58929,                0.56275,                0.55818,                0.30195,                 1.6161,                 1.7766,                 1.4771,              0.0013199,              0.0013199,              0.0013199
                      2,                 1.7528,                 1.4568,                 1.7296,                0.82351,                0.69081,                0.76431,                0.42585,                 1.5979,                 1.1084,                 1.4691,              0.0019646,              0.0019646,              0.0019646
                      3,                 1.6962,                 1.3861,                  1.695,                0.76704,                0.62727,                0.68253,                0.27203,                 2.1662,                 1.1998,                 1.7605,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.6171,                 1.3038,                 1.6367,                0.82095,                 0.6987,                  0.757,                0.37742,                 1.7493,                0.99352,                 1.5237,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.5687,                 1.2288,                 1.5978,                 0.8356,                0.71952,                0.78234,                0.53807,                 1.1339,                0.78879,                 1.2129,               0.001934,               0.001934,               0.001934
                      6,                 1.5088,                 1.1789,                 1.5547,                0.83126,                0.72934,                0.78784,                0.40359,                 1.7774,                0.91897,                 1.5446,              0.0019175,              0.0019175,              0.0019175
                      7,                 1.4796,                 1.1307,                 1.5333,                0.84901,                0.70833,                0.76612,                 0.4102,                 1.7158,                0.95267,                 1.5288,               0.001901,               0.001901,               0.001901
                      8,                 1.4482,                  1.097,                 1.5098,                0.87792,                0.73636,                0.78978,                0.43923,                 1.6023,                0.84319,                 1.4509,              0.0018845,              0.0018845,              0.0018845
                      9,                 1.3852,                 1.0404,                  1.468,                 0.8368,                0.73913,                0.78378,                0.37803,                 1.8103,                0.90343,                 1.5369,               0.001868,               0.001868,               0.001868
                     10,                 1.3691,                 1.0168,                  1.458,                0.84794,                0.71694,                0.77771,                0.37782,                 1.8733,                0.89933,                  1.592,              0.0018515,              0.0018515,              0.0018515
                     11,                 1.3211,                0.98059,                  1.428,                0.86663,                0.75974,                0.80862,                0.46141,                 1.5543,                0.77892,                 1.4247,               0.001835,               0.001835,               0.001835
                     12,                 1.2637,                0.92379,                 1.3886,                0.85579,                 0.7476,                0.79749,                0.41627,                 1.7261,                0.82189,                 1.5176,              0.0018185,              0.0018185,              0.0018185
                     13,                 1.2116,                0.88136,                  1.355,                0.84831,                0.74026,                0.79112,                0.38089,                 1.8423,                0.84934,                 1.5894,               0.001802,               0.001802,               0.001802
                     14,                 1.1721,                0.84382,                 1.3272,                0.85678,                0.72597,                0.79214,                0.40358,                 1.7761,                0.81147,                 1.5507,              0.0017855,              0.0017855,              0.0017855
                     15,                 1.1193,                0.80855,                 1.2923,                0.87456,                0.73636,                0.79806,                0.40827,                 1.7359,                0.82381,                  1.566,               0.001769,               0.001769,               0.001769
                     16,                 1.0814,                0.77049,                 1.2664,                0.88865,                0.73377,                0.78926,                0.35779,                  1.959,                0.84663,                 1.7057,              0.0017525,              0.0017525,              0.0017525
                     17,                 1.0301,                0.73186,                 1.2277,                0.85525,                0.73117,                0.77257,                0.38972,                 1.7789,                0.85763,                 1.5999,               0.001736,               0.001736,               0.001736
                     18,                 1.0025,                0.72359,                 1.2126,                0.86709,                0.73506,                0.78167,                0.40359,                 1.7442,                 0.8012,                 1.5997,              0.0017195,              0.0017195,              0.0017195
                     19,                0.94152,                0.67284,                  1.174,                 0.8624,                0.76509,                0.79661,                0.44166,                  1.575,                0.74835,                 1.4981,               0.001703,               0.001703,               0.001703
                     20,                0.88256,                0.62964,                  1.134,                0.86696,                0.70779,                0.77215,                0.35979,                  1.927,                 0.8438,                 1.8111,              0.0016865,              0.0016865,              0.0016865
                     21,                0.84379,                 0.5964,                 1.1097,                0.85953,                0.73905,                0.77052,                0.31659,                 2.0651,                0.88162,                 1.9735,                0.00167,                0.00167,                0.00167
                     22,                0.78283,                0.56027,                 1.0713,                0.86592,                0.75844,                0.79313,                0.41322,                 1.6579,                0.77174,                  1.633,              0.0016535,              0.0016535,              0.0016535
                     23,                0.75479,                0.53706,                 1.0521,                0.90794,                0.75572,                 0.8029,                0.41597,                 1.7274,                 0.7637,                  1.693,               0.001637,               0.001637,               0.001637
                     24,                0.70003,                0.50176,                 1.0205,                0.87727,                0.73333,                0.78834,                0.34856,                  1.957,                 0.8412,                 1.9058,              0.0016205,              0.0016205,              0.0016205
                     25,                0.66858,                0.47258,                 1.0015,                0.86887,                0.74805,                0.77887,                0.34625,                 1.9331,                0.82348,                 1.9353,               0.001604,               0.001604,               0.001604
