                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2665,                 2.0626,                 1.2241,                0.85543,                0.57235,                0.68969,                0.49917,                 1.0324,                 2.1613,                 1.0474,             0.00065942,             0.00065942,             0.00065942
                      1,                 1.1148,                 1.2852,                 1.1443,                0.55852,                0.37402,                0.41698,                0.28547,                 1.2971,                 2.6596,                 1.2512,              0.0013151,              0.0013151,              0.0013151
                      2,                  1.159,                 1.1191,                 1.1782,                0.78054,                0.76703,                0.80488,                0.54295,                 1.0582,                 1.0309,                 1.0994,              0.0019599,              0.0019599,              0.0019599
                      3,                 1.0832,                0.97118,                 1.1491,                0.85599,                0.80168,                0.85145,                0.62196,                0.96064,                 0.8078,                 1.0472,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.0795,                0.91315,                 1.1483,                 0.8413,                 0.7367,                0.81707,                0.61203,                0.92905,                0.92792,                  1.018,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0446,                0.85439,                 1.1195,                0.88648,                0.78065,                0.85597,                0.64212,                0.91089,                0.70639,                0.99295,               0.001934,               0.001934,               0.001934
                      6,                 1.0146,                0.82069,                 1.1097,                0.91634,                0.83564,                0.88746,                0.67168,                0.87231,                 0.6761,                  0.976,              0.0019175,              0.0019175,              0.0019175
                      7,                0.97646,                0.78695,                 1.0915,                 0.8522,                0.82485,                0.87712,                0.65855,                0.89524,                0.67356,                 1.0034,               0.001901,               0.001901,               0.001901
                      8,                0.97191,                0.77075,                 1.0926,                0.88054,                0.79019,                0.87081,                0.65867,                0.89508,                 0.6746,                 1.0091,              0.0018845,              0.0018845,              0.0018845
                      9,                0.96374,                0.75943,                 1.0896,                0.89351,                0.81744,                0.88413,                0.66582,                0.84695,                0.66429,                0.98456,               0.001868,               0.001868,               0.001868
                     10,                0.94675,                0.73369,                 1.0805,                0.89692,                0.78202,                0.87371,                0.67278,                0.83184,                0.62638,                0.98437,              0.0018515,              0.0018515,              0.0018515
                     11,                0.94051,                0.71375,                 1.0773,                0.91824,                0.84158,                 0.9018,                0.69603,                 0.8224,                0.56411,                0.96786,               0.001835,               0.001835,               0.001835
                     12,                0.94555,                0.73584,                 1.0882,                0.92806,                  0.826,                0.90552,                0.70914,                0.79154,                 0.5566,                0.96021,              0.0018185,              0.0018185,              0.0018185
                     13,                0.90318,                0.69929,                 1.0722,                0.92755,                0.83515,                0.89906,                 0.7072,                0.79064,                0.55179,                0.95134,               0.001802,               0.001802,               0.001802
                     14,                0.89646,                0.67597,                  1.058,                0.90753,                0.84332,                 0.8994,                0.70369,                0.81838,                0.55727,                0.95165,              0.0017855,              0.0017855,              0.0017855
                     15,                0.89378,                  0.688,                 1.0693,                0.92251,                0.84605,                0.90823,                0.72325,                0.76605,                0.52373,                0.94835,               0.001769,               0.001769,               0.001769
                     16,                0.88696,                 0.6687,                 1.0612,                0.92715,                0.82561,                0.90528,                0.69858,                0.79041,                0.55827,                  0.965,              0.0017525,              0.0017525,              0.0017525
                     17,                0.87513,                 0.6622,                 1.0398,                0.89853,                 0.8406,                0.90158,                0.72486,                0.74738,                0.53101,                0.95023,               0.001736,               0.001736,               0.001736
                     18,                0.88611,                0.65736,                 1.0546,                0.91298,                0.84332,                0.90125,                0.71776,                0.74896,                0.53634,                0.94067,              0.0017195,              0.0017195,              0.0017195
                     19,                0.85157,                0.65087,                 1.0429,                0.92475,                 0.8515,                0.90725,                0.72875,                0.73754,                0.50989,                0.93968,               0.001703,               0.001703,               0.001703
                     20,                0.87221,                0.64419,                 1.0511,                0.93652,                 0.8297,                0.90892,                0.72016,                0.75548,                0.52862,                0.93638,              0.0016865,              0.0016865,              0.0016865
                     21,                0.83731,                0.63022,                 1.0394,                0.92855,                 0.8321,                0.90553,                0.72133,                0.75727,                0.52543,                0.94642,                0.00167,                0.00167,                0.00167
                     22,                 0.8424,                0.63699,                 1.0239,                0.92615,                0.85831,                0.90738,                0.73012,                 0.7494,                0.51112,                0.93656,              0.0016535,              0.0016535,              0.0016535
                     23,                0.83873,                0.63282,                 1.0343,                0.90997,                0.86756,                0.91388,                0.73835,                0.73845,                0.48077,                0.93241,               0.001637,               0.001637,               0.001637
                     24,                 0.8261,                0.60683,                 1.0336,                0.91311,                 0.8304,                  0.907,                0.71331,                 0.7622,                0.52173,                0.95496,              0.0016205,              0.0016205,              0.0016205
                     25,                 0.8143,                0.60157,                 1.0246,                0.92897,                0.85014,                0.91634,                0.72288,                0.74679,                0.50159,                0.93953,               0.001604,               0.001604,               0.001604
                     26,                0.81476,                0.60042,                 1.0294,                 0.9103,                 0.8624,                0.91276,                0.73762,                0.73313,                0.49374,                0.94105,              0.0015875,              0.0015875,              0.0015875
                     27,                0.83261,                0.61843,                  1.025,                0.93877,                0.85967,                0.91702,                0.74731,                0.70835,                0.48293,                0.93447,               0.001571,               0.001571,               0.001571
