                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1659,                 1.8378,                 1.2167,                0.76858,                0.70132,                0.76198,                0.53183,                0.97169,                  1.337,                  1.078,             0.00065942,             0.00065942,             0.00065942
                      1,                 1.1019,                0.97346,                 1.1728,                0.79607,                 0.7605,                0.80566,                0.53552,                 1.0815,                 1.2202,                 1.1474,              0.0013151,              0.0013151,              0.0013151
                      2,                 1.1685,                0.98664,                 1.1953,                0.80354,                 0.7467,                0.79267,                0.54924,                 1.0251,                 1.2861,                 1.1322,              0.0019599,              0.0019599,              0.0019599
                      3,                 1.1067,                0.89465,                 1.1777,                 0.8472,                0.68741,                0.77237,                0.55877,                 1.0346,                 1.6026,                 1.1266,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.0931,                0.87799,                 1.1685,                0.80879,                0.79837,                0.83275,                0.61259,                0.96202,                 0.7957,                 1.0631,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0547,                 0.8248,                  1.147,                0.84325,                0.79564,                0.85185,                0.62866,                0.94045,                0.77388,                 1.0296,               0.001934,               0.001934,               0.001934
                      6,                 1.0152,                0.80281,                 1.1237,                0.87271,                0.80245,                0.87142,                0.67292,                0.86258,                0.63138,                 1.0002,              0.0019175,              0.0019175,              0.0019175
                      7,                0.98334,                0.76211,                 1.1159,                0.88569,                0.84469,                0.89546,                0.66963,                 0.8621,                0.66046,                0.98972,               0.001901,               0.001901,               0.001901
                      8,                0.96422,                0.74383,                 1.0976,                0.92864,                0.82153,                0.89298,                0.68919,                0.84899,                0.59637,                0.98816,              0.0018845,              0.0018845,              0.0018845
                      9,                0.94844,                0.71586,                 1.0956,                0.89636,                0.80129,                0.87898,                0.66536,                0.86361,                0.60881,                 1.0078,               0.001868,               0.001868,               0.001868
                     10,                0.96259,                 0.7316,                    1.1,                0.90298,                0.79885,                0.86258,                 0.6681,                0.80287,                0.67623,                0.97928,              0.0018515,              0.0018515,              0.0018515
                     11,                0.94264,                0.70898,                 1.0924,                0.92562,                0.77929,                0.89178,                 0.6904,                0.82709,                0.56833,                0.97998,               0.001835,               0.001835,               0.001835
                     12,                0.94488,                0.70425,                 1.0913,                0.89138,                0.79837,                0.86729,                0.66382,                0.85938,                0.64097,                 1.0148,              0.0018185,              0.0018185,              0.0018185
                     13,                0.87866,                0.67043,                 1.0652,                 0.9172,                0.81744,                0.88028,                0.70111,                0.77367,                0.58608,                0.96358,               0.001802,               0.001802,               0.001802
                     14,                0.88073,                0.65913,                 1.0685,                 0.9195,                0.82834,                 0.9081,                0.70611,                0.82107,                0.53594,                0.98669,              0.0017855,              0.0017855,              0.0017855
                     15,                0.89592,                0.67557,                 1.0766,                0.91505,                0.82183,                 0.8996,                0.71914,                0.78063,                0.54322,                0.95406,               0.001769,               0.001769,               0.001769
                     16,                0.87343,                0.67047,                 1.0663,                0.91099,                0.85422,                0.91155,                0.72802,                0.74121,                0.51499,                0.95671,              0.0017525,              0.0017525,              0.0017525
                     17,                0.87411,                0.64159,                  1.055,                 0.9153,                0.83379,                0.90269,                0.71584,                0.77576,                0.54321,                0.96495,               0.001736,               0.001736,               0.001736
                     18,                0.87476,                0.63589,                 1.0637,                0.90649,                0.86104,                0.90572,                0.71923,                 0.7602,                0.50782,                0.95764,              0.0017195,              0.0017195,              0.0017195
                     19,                0.83714,                0.62955,                 1.0465,                0.90185,                0.83924,                0.89416,                0.72628,                0.72153,                0.51248,                0.93777,               0.001703,               0.001703,               0.001703
                     20,                0.85904,                0.63385,                 1.0486,                 0.9337,                0.83106,                 0.9079,                0.72016,                0.75996,                0.52073,                0.94823,              0.0016865,              0.0016865,              0.0016865
