                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1126,                 1.4316,                 1.2717,                0.00011,                0.01226,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,             0.00065942,             0.00065942,             0.00065942
                      1,                 1.2167,                 1.0602,                 1.3493,                0.34468,                 0.2752,                0.21333,                0.11302,                 1.8443,                 6.0412,                  2.233,              0.0013151,              0.0013151,              0.0013151
                      2,                 1.2815,                  1.077,                 1.3723,                0.62433,                 0.2717,                0.28186,                0.18743,                 2.3305,                 3.8184,                 3.0736,              0.0019599,              0.0019599,              0.0019599
                      3,                 1.1993,                0.96622,                 1.3446,                0.70549,                0.31063,                0.32781,                0.22306,                 1.7102,                  2.644,                 1.8383,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.1166,                0.86145,                  1.292,                0.85894,                0.73834,                0.80969,                0.59531,                0.96928,                 0.9706,                 1.2286,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0528,                0.83918,                 1.2442,                0.83526,                0.73161,                0.80458,                0.60486,                0.89561,                0.87859,                 1.1616,               0.001934,               0.001934,               0.001934
                      6,                 1.0417,                0.80846,                 1.2277,                0.86801,                0.66302,                0.74187,                 0.5555,                0.96084,                   1.08,                 1.1951,              0.0019175,              0.0019175,              0.0019175
                      7,                 1.0329,                0.79536,                 1.2422,                0.89348,                0.79995,                 0.8751,                0.66546,                0.83967,                0.65487,                 1.1415,               0.001901,               0.001901,               0.001901
                      8,                0.98826,                0.76317,                 1.2132,                0.91436,                0.78747,                0.88304,                0.68341,                0.81885,                0.61564,                 1.0932,              0.0018845,              0.0018845,              0.0018845
                      9,                 0.9642,                0.72838,                 1.2114,                0.85675,                0.83114,                 0.8689,                0.66345,                0.83207,                 0.6268,                 1.1084,               0.001868,               0.001868,               0.001868
