                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0829,                 1.2751,                 1.1904,                0.38917,                0.58447,                0.45293,                0.29899,                 1.0354,                   2.72,                 1.3025,             0.00065942,             0.00065942,             0.00065942
                      1,                 1.1343,                0.93098,                 1.2573,                0.21984,                0.23433,                0.10132,                0.06283,                 1.7429,                 5.2412,                 2.1629,              0.0013151,              0.0013151,              0.0013151
                      2,                    1.2,                0.97864,                 1.2893,                0.74143,                 0.6376,                 0.6972,                0.49003,                 1.0914,                 2.3971,                 1.3108,              0.0019599,              0.0019599,              0.0019599
                      3,                  1.131,                0.89927,                 1.2614,                0.66202,                0.33379,                0.35349,                0.21482,                 2.1388,                 2.6029,                 2.2065,              0.0019505,              0.0019505,              0.0019505
                      4,                  1.097,                   0.82,                 1.2353,                0.84434,                0.70945,                0.79543,                0.58524,                0.96451,                0.95248,                 1.1793,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0538,                0.81688,                 1.2124,                0.82986,                0.81073,                0.83932,                0.61734,                0.90686,                0.74226,                 1.1272,               0.001934,               0.001934,               0.001934
                      6,                 1.0253,                0.77777,                 1.1845,                0.89293,                0.78401,                0.86289,                0.63862,                0.91834,                0.70589,                 1.1156,              0.0019175,              0.0019175,              0.0019175
                      7,                  1.006,                0.76978,                 1.1889,                0.89228,                0.81256,                   0.88,                0.68639,                0.81287,                0.60062,                 1.0807,               0.001901,               0.001901,               0.001901
                      8,                0.95006,                0.71998,                   1.16,                0.87377,                0.80245,                0.86949,                0.66824,                0.86717,                0.63712,                 1.0963,              0.0018845,              0.0018845,              0.0018845
                      9,                0.97633,                0.73747,                 1.1871,                0.85458,                0.79564,                0.82924,                0.60724,                0.90159,                0.78855,                 1.1194,               0.001868,               0.001868,               0.001868
                     10,                0.94235,                0.69755,                 1.1542,                0.89132,                0.79336,                0.86998,                0.66787,                0.84306,                0.63226,                 1.0862,              0.0018515,              0.0018515,              0.0018515
                     11,                0.93879,                0.67779,                 1.1553,                0.90078,                0.81629,                0.88651,                0.68592,                 0.7997,                 0.5835,                 1.0927,               0.001835,               0.001835,               0.001835
                     12,                 0.9261,                0.68814,                 1.1513,                0.88972,                0.68151,                0.78451,                0.60837,                0.86513,                0.89365,                 1.1352,              0.0018185,              0.0018185,              0.0018185
                     13,                0.91361,                 0.6757,                 1.1354,                0.88727,                0.81063,                0.87851,                0.69732,                0.76873,                 0.5724,                 1.0483,               0.001802,               0.001802,               0.001802
                     14,                0.92546,                0.66861,                 1.1743,                0.92417,                0.81357,                0.89282,                0.71777,                0.72054,                0.54616,                 1.0456,              0.0017855,              0.0017855,              0.0017855
                     15,                 0.8642,                0.63335,                 1.1298,                0.90229,                0.84332,                 0.9012,                0.71822,                0.74953,                 0.5282,                  1.043,               0.001769,               0.001769,               0.001769
                     16,                0.86715,                0.63011,                 1.1273,                 0.9017,                0.82482,                0.90205,                0.72121,                0.73978,                0.52634,                 1.0374,              0.0017525,              0.0017525,              0.0017525
                     17,                0.86125,                 0.6143,                 1.1004,                0.85046,                0.85286,                0.88851,                0.70234,                0.75733,                0.55503,                 1.0523,               0.001736,               0.001736,               0.001736
                     18,                 0.8744,                0.62593,                 1.1233,                0.91751,                0.81827,                0.90319,                0.72237,                0.71736,                0.50266,                  1.026,              0.0017195,              0.0017195,              0.0017195
                     19,                0.82807,                0.60063,                 1.0969,                0.90501,                0.82289,                0.89127,                0.72485,                0.72808,                 0.5112,                 1.0229,               0.001703,               0.001703,               0.001703
                     20,                0.84603,                0.60013,                 1.0991,                0.88185,                 0.8733,                0.91013,                0.73531,                0.73433,                0.49127,                 1.0196,              0.0016865,              0.0016865,              0.0016865
                     21,                0.84123,                0.60847,                 1.1064,                 0.9244,                0.83291,                0.89938,                0.69969,                0.77306,                0.54227,                 1.0489,                0.00167,                0.00167,                0.00167
                     22,                0.84446,                0.59864,                 1.1062,                0.89526,                0.79186,                0.87628,                0.70376,                 0.7426,                0.60768,                 1.0379,              0.0016535,              0.0016535,              0.0016535
                     23,                0.82681,                0.58822,                 1.0905,                0.89376,                0.83651,                0.89324,                0.71088,                0.72424,                0.55789,                 1.0276,               0.001637,               0.001637,               0.001637
                     24,                0.82049,                0.58134,                 1.0989,                0.91862,                0.83515,                  0.904,                0.73131,                0.70973,                0.48374,                 1.0098,              0.0016205,              0.0016205,              0.0016205
                     25,                0.79945,                 0.5717,                 1.0908,                0.91088,                0.80926,                0.88702,                0.71506,                0.73267,                0.54325,                 1.0361,               0.001604,               0.001604,               0.001604
                     26,                0.82407,                0.58132,                 1.0917,                0.87695,                0.85831,                 0.8986,                0.72321,                   0.73,                 0.4992,                 1.0312,              0.0015875,              0.0015875,              0.0015875
                     27,                0.82828,                0.59198,                 1.1047,                0.88309,                0.85014,                0.89878,                0.73122,                0.69211,                0.47743,                 1.0165,               0.001571,               0.001571,               0.001571
                     28,                0.78829,                0.56103,                 1.0735,                0.89345,                0.84538,                0.90139,                0.73835,                0.67217,                0.49123,                 1.0096,              0.0015545,              0.0015545,              0.0015545
                     29,                0.77822,                0.53861,                 1.0607,                0.90785,                0.82561,                0.89933,                0.73618,                0.67832,                 0.4799,                0.99745,               0.001538,               0.001538,               0.001538
                     30,                0.78708,                0.54518,                 1.0743,                0.89549,                 0.8522,                0.91221,                0.75297,                0.66596,                0.45906,                0.99987,              0.0015215,              0.0015215,              0.0015215
                     31,                0.80016,                0.55695,                 1.0825,                0.90706,                0.83765,                 0.9053,                0.73463,                0.70084,                0.49229,                 1.0088,               0.001505,               0.001505,               0.001505
                     32,                0.78286,                0.55041,                 1.0744,                0.91049,                0.86376,                0.92093,                0.75751,                0.64764,                0.43535,                0.97753,              0.0014885,              0.0014885,              0.0014885
                     33,                0.77073,                0.53246,                 1.0585,                0.89816,                0.84109,                0.91113,                0.75268,                0.65128,                0.45983,                0.98947,               0.001472,               0.001472,               0.001472
                     34,                0.75385,                0.51301,                 1.0573,                0.91773,                0.85831,                 0.9129,                0.75113,                0.64602,                0.44398,                0.98404,              0.0014555,              0.0014555,              0.0014555
                     35,                0.76711,                0.52024,                  1.075,                0.91122,                0.86696,                0.91369,                0.75278,                0.66018,                0.43537,                 0.9966,               0.001439,               0.001439,               0.001439
                     36,                0.74036,                0.51549,                 1.0462,                0.89484,                 0.8579,                0.90591,                0.75081,                0.66382,                0.45469,                0.99452,              0.0014225,              0.0014225,              0.0014225
                     37,                0.75176,                0.51364,                 1.0595,                0.90831,                0.86372,                0.91917,                0.76027,                0.65653,                0.43986,                0.99129,               0.001406,               0.001406,               0.001406
                     38,                0.75039,                0.50842,                 1.0578,                0.91785,                0.85831,                0.91495,                0.75918,                0.64739,                0.43447,                0.98951,              0.0013895,              0.0013895,              0.0013895
                     39,                0.75088,                0.52481,                 1.0568,                0.91018,                  0.856,                0.91418,                0.75768,                0.64079,                 0.4301,                0.98378,               0.001373,               0.001373,               0.001373
                     40,                0.73494,                0.51488,                 1.0503,                0.90315,                0.85117,                0.90089,                0.73495,                0.69495,                 0.4631,                  1.003,              0.0013565,              0.0013565,              0.0013565
                     41,                0.73167,                0.49293,                 1.0388,                0.93903,                0.85831,                0.92054,                0.76298,                 0.6436,                0.41868,                0.98054,                0.00134,                0.00134,                0.00134
                     42,                 0.7072,                0.48887,                 1.0305,                0.89797,                0.86512,                0.91964,                0.76877,                0.64286,                0.41821,                0.97886,              0.0013235,              0.0013235,              0.0013235
                     43,                0.72525,                0.50251,                 1.0518,                0.90278,                0.86512,                0.91338,                0.76234,                0.62735,                0.42238,                0.97776,               0.001307,               0.001307,               0.001307
                     44,                0.72805,                0.48806,                 1.0419,                0.90264,                0.86376,                0.91454,                0.75192,                0.65495,                 0.4327,                0.98929,              0.0012905,              0.0012905,              0.0012905
                     45,                0.72689,                 0.5065,                 1.0383,                 0.9227,                0.84562,                0.90896,                0.76105,                0.62841,                0.42898,                0.98958,               0.001274,               0.001274,               0.001274
                     46,                0.71741,                0.49732,                 1.0388,                 0.8941,                0.86512,                0.91424,                0.75894,                0.63294,                 0.4233,                0.98715,              0.0012575,              0.0012575,              0.0012575
                     47,                0.71797,                0.49165,                 1.0364,                0.93057,                0.84605,                0.91572,                0.76388,                0.63811,                0.40944,                 0.9806,               0.001241,               0.001241,               0.001241
                     48,                0.71675,                0.48572,                 1.0367,                0.95077,                0.85422,                0.92519,                0.75766,                0.64662,                0.41829,                0.98575,              0.0012245,              0.0012245,              0.0012245
                     49,                0.70435,                0.49111,                 1.0241,                0.92015,                 0.8406,                0.90426,                0.74193,                0.65563,                0.45406,                 1.0021,               0.001208,               0.001208,               0.001208
                     50,                0.71462,                0.49054,                 1.0432,                0.93373,                0.86377,                0.92038,                0.77327,                 0.6201,                0.40797,                0.96853,              0.0011915,              0.0011915,              0.0011915
                     51,                0.73258,                 0.5071,                 1.0562,                0.92498,                0.85671,                0.91872,                0.76899,                0.62242,                 0.4179,                0.98005,               0.001175,               0.001175,               0.001175
                     52,                 0.7058,                0.49472,                  1.028,                0.91809,                0.86785,                0.92067,                0.76244,                0.63829,                  0.411,                0.98165,              0.0011585,              0.0011585,              0.0011585
