                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1916,                 1.9043,                 1.1848,                 0.7368,                0.76839,                0.76595,                0.50531,                 1.0384,                 1.3492,                 1.1392,             0.00065574,             0.00065574,             0.00065574
                      1,                 1.0534,                0.87296,                 1.1167,                0.54267,                0.58846,                 0.5097,                0.32601,                   1.13,                 2.9193,                 1.2581,              0.0013115,              0.0013115,              0.0013115
                      2,                 1.1396,                0.91929,                 1.1576,                0.80721,                0.45232,                0.52079,                0.37181,                 1.2361,                 2.6776,                 1.2938,              0.0019563,              0.0019563,              0.0019563
                      3,                 1.0716,                0.84875,                 1.1223,                0.74879,                0.57666,                0.66348,                0.49001,                 1.0122,                 1.8375,                 1.1328,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.0481,                0.83003,                 1.1183,                0.81333,                0.77929,                0.82956,                0.61753,                0.90915,                0.99226,                  1.046,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0508,                0.80525,                 1.1066,                0.83998,                0.82243,                0.85614,                0.62258,                0.94776,                0.75197,                 1.0636,               0.001934,               0.001934,               0.001934
                      6,                 1.0149,                0.73944,                 1.0973,                  0.901,                0.82561,                0.89401,                0.67242,                0.84073,                  0.667,                0.99984,              0.0019175,              0.0019175,              0.0019175
                      7,                 0.9448,                0.70794,                 1.0654,                0.89622,                0.82289,                0.88894,                0.68827,                0.81555,                0.61245,                 0.9855,               0.001901,               0.001901,               0.001901
                      8,                0.96096,                0.71502,                 1.0641,                0.90113,                0.78227,                0.85274,                0.65523,                0.88146,                   0.77,                 1.0316,              0.0018845,              0.0018845,              0.0018845
                      9,                 0.9295,                 0.6763,                  1.062,                0.89956,                0.84605,                0.90554,                0.70349,                0.81255,                0.58527,                0.98917,               0.001868,               0.001868,               0.001868
                     10,                0.93664,                0.68071,                 1.0542,                0.91601,                0.82153,                 0.8977,                0.71896,                 0.7514,                0.55378,                0.96182,              0.0018515,              0.0018515,              0.0018515
                     11,                0.92597,                0.67362,                 1.0704,                0.91196,                0.83258,                0.89764,                0.70062,                 0.8203,                0.57379,                0.97907,               0.001835,               0.001835,               0.001835
