                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1695,                 1.7128,                 1.1847,                0.78544,                 0.7581,                0.78051,                0.55074,                 0.9394,                  1.186,                   1.06,             0.00065942,             0.00065942,             0.00065942
                      1,                 1.0858,                0.90899,                 1.1418,                 0.6766,                0.54496,                 0.6236,                0.41695,                 1.1537,                 1.4407,                  1.186,              0.0013151,              0.0013151,              0.0013151
                      2,                  1.139,                0.91548,                 1.1628,                0.74317,                0.67808,                0.72776,                0.50935,                 1.0594,                 1.2071,                 1.1029,              0.0019599,              0.0019599,              0.0019599
                      3,                 1.0868,                0.86276,                 1.1375,                0.81272,                0.77929,                0.81502,                0.59276,                 0.9574,                0.93691,                 1.0755,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.0803,                0.82594,                  1.142,                0.79898,                0.73297,                0.78977,                0.55469,                 1.0192,                0.99287,                 1.1068,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.0337,                0.78537,                 1.1129,                0.83832,                0.77657,                0.83422,                 0.6252,                 0.8934,                0.71805,                 1.0198,               0.001934,               0.001934,               0.001934
                      6,                 1.0365,                0.77258,                 1.0909,                0.89709,                0.81744,                0.87438,                0.64864,                0.93239,                0.66501,                 1.0322,              0.0019175,              0.0019175,              0.0019175
                      7,                0.99361,                0.74568,                 1.1006,                0.87164,                 0.8188,                0.87993,                0.68949,                0.80931,                0.62749,                 1.0118,               0.001901,               0.001901,               0.001901
                      8,                0.94733,                0.69552,                  1.077,                 0.8702,                0.81199,                0.87399,                0.66977,                 0.8296,                0.64117,                 1.0034,              0.0018845,              0.0018845,              0.0018845
                      9,                0.95498,                0.72736,                  1.082,                0.88637,                0.81828,                0.88228,                0.67857,                0.80772,                 0.6146,                0.96937,               0.001868,               0.001868,               0.001868
                     10,                0.93124,                0.68582,                 1.0605,                 0.9158,                0.84467,                0.90067,                0.71004,                0.77159,                0.54742,                0.96763,              0.0018515,              0.0018515,              0.0018515
                     11,                 0.9367,                0.67305,                 1.0618,                0.90861,                0.82561,                0.90113,                0.70595,                0.78707,                0.54934,                0.96371,               0.001835,               0.001835,               0.001835
                     12,                0.89269,                  0.662,                 1.0511,                0.92679,                0.82425,                  0.901,                0.71625,                0.76052,                0.54832,                0.95644,              0.0018185,              0.0018185,              0.0018185
                     13,                0.87716,                0.64728,                 1.0367,                0.86461,                0.85261,                0.89482,                0.70325,                0.76007,                0.56283,                0.95938,               0.001802,               0.001802,               0.001802
                     14,                0.91678,                0.66423,                  1.074,                0.91155,                0.80033,                0.87849,                0.70098,                0.75445,                0.60408,                0.96843,              0.0017855,              0.0017855,              0.0017855
                     15,                0.86201,                0.63837,                 1.0407,                0.90261,                0.83336,                0.88827,                0.69842,                0.77594,                0.57873,                0.96669,               0.001769,               0.001769,               0.001769
                     16,                0.87334,                0.64391,                 1.0484,                0.94217,                0.82698,                0.90006,                0.72454,                0.73276,                0.52492,                0.95359,              0.0017525,              0.0017525,              0.0017525
                     17,                0.86851,                 0.6232,                 1.0301,                0.91298,                0.82902,                0.88589,                  0.705,                0.76815,                0.55506,                0.96696,               0.001736,               0.001736,               0.001736
                     18,                0.86413,                0.61983,                 1.0369,                0.89458,                0.84395,                0.90176,                 0.7349,                0.69885,                0.51436,                0.94292,              0.0017195,              0.0017195,              0.0017195
                     19,                0.81683,                0.60186,                 1.0242,                0.92369,                0.84332,                0.90551,                0.73305,                0.72171,                0.50799,                 0.9513,               0.001703,               0.001703,               0.001703
                     20,                0.84831,                  0.603,                 1.0222,                0.92863,                0.83316,                0.90902,                0.72028,                0.73817,                0.52541,                0.94698,              0.0016865,              0.0016865,              0.0016865
                     21,                0.83841,                0.63228,                 1.0269,                0.91286,                0.85629,                0.91152,                 0.7363,                0.70453,                0.49562,                0.93983,                0.00167,                0.00167,                0.00167
                     22,                 0.8392,                0.60518,                  1.024,                0.93011,                0.85286,                0.91431,                0.73874,                 0.7063,                0.48662,                0.93581,              0.0016535,              0.0016535,              0.0016535
                     23,                0.82494,                0.59318,                 1.0174,                0.92852,                0.86715,                0.91488,                 0.7499,                0.68757,                0.47877,                0.92418,               0.001637,               0.001637,               0.001637
                     24,                0.81401,                0.57666,                 1.0237,                0.93327,                0.83844,                0.90128,                0.73774,                0.68918,                0.49659,                0.93151,              0.0016205,              0.0016205,              0.0016205
