                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93663,                 1.2791,                  1.099,                0.00654,                0.51499,                0.00495,                0.00317,                 1.4363,                    inf,                 1.9385,             0.00065942,             0.00065942,             0.00065942
                      1,                0.96565,                0.84549,                 1.1138,                0.45166,                0.37369,                0.29294,                0.18256,                 1.5795,                 2.1141,                    1.7,              0.0013207,              0.0013207,              0.0013207
                      2,                 1.0025,                0.82803,                 1.1146,                0.49175,                0.21662,                0.20936,                0.13528,                 2.1853,                  3.829,                 2.3362,              0.0019764,              0.0019764,              0.0019764
                      3,                0.91914,                0.72782,                 1.0722,                 0.8136,                0.74523,                0.81202,                0.56525,                 1.0148,                0.93158,                 1.1596,              0.0019755,              0.0019755,              0.0019755
                      4,                0.87794,                0.66024,                  1.042,                0.84396,                0.73689,                0.80629,                0.54999,                 1.1249,                0.85227,                 1.1904,              0.0019755,              0.0019755,              0.0019755
                      5,                0.79642,                0.60993,                 1.0031,                 0.8702,                0.78553,                0.85522,                0.64173,                0.92039,                0.69182,                 1.0727,              0.0019673,              0.0019673,              0.0019673
                      6,                0.76066,                0.55449,                0.97564,                 0.8819,                0.81199,                0.86998,                0.65177,                 0.8956,                0.64146,                 1.1009,              0.0019591,              0.0019591,              0.0019591
                      7,                0.69724,                0.50807,                0.95071,                0.87677,                0.76567,                0.84142,                0.65077,                0.88307,                 0.7209,                 1.0701,              0.0019509,              0.0019509,              0.0019509
                      8,                0.69257,                0.51358,                0.94858,                0.80553,                 0.5218,                0.58964,                0.42156,                 1.3766,                 1.9142,                 1.4903,              0.0019427,              0.0019427,              0.0019427
                      9,                0.67575,                0.48842,                0.93555,                0.87767,                0.83515,                0.88982,                 0.6862,                0.82778,                0.56233,                 1.0704,              0.0019345,              0.0019345,              0.0019345
                     10,                0.62133,                 0.4412,                0.91362,                0.89077,                0.83379,                0.89285,                0.69958,                0.80424,                0.54126,                 1.0487,              0.0019264,              0.0019264,              0.0019264
                     11,                0.59871,                0.44669,                0.90204,                0.88778,                0.70054,                0.82134,                0.61552,                0.99339,                0.89656,                 1.1419,              0.0019182,              0.0019182,              0.0019182
                     12,                0.57555,                0.40839,                0.89038,                0.91761,                0.80654,                0.88427,                0.70322,                0.77512,                0.56616,                 1.0078,                0.00191,                0.00191,                0.00191
                     13,                0.54995,                0.40411,                0.87682,                0.91967,                0.74114,                0.81813,                0.64572,                0.82866,                0.70718,                 1.0648,              0.0019018,              0.0019018,              0.0019018
                     14,                0.52136,                 0.3802,                0.86897,                0.87813,                0.72207,                0.79582,                0.62017,                0.86289,                0.80046,                 1.0974,              0.0018936,              0.0018936,              0.0018936
                     15,                0.49291,                0.38349,                 0.8577,                0.89203,                0.84419,                0.89286,                0.71986,                0.72669,                0.51623,                0.98909,              0.0018855,              0.0018855,              0.0018855
                     16,                0.47981,                0.35566,                0.84794,                0.90228,                0.84285,                0.88902,                0.69771,                0.77279,                 0.5261,                 1.0311,              0.0018773,              0.0018773,              0.0018773
                     17,                0.46625,                0.34912,                0.84398,                0.89348,                0.83243,                0.88711,                0.70591,                0.75794,                0.52771,                 1.0248,              0.0018691,              0.0018691,              0.0018691
                     18,                0.44335,                 0.3293,                0.83249,                0.91958,                 0.7945,                0.83241,                0.67291,                0.74537,                0.76913,                  1.026,              0.0018609,              0.0018609,              0.0018609
                     19,                0.42461,                0.31908,                0.82769,                0.87777,                0.81335,                0.88194,                0.71837,                 0.7299,                0.58465,                 1.0089,              0.0018527,              0.0018527,              0.0018527
                     20,                0.41149,                0.31513,                 0.8254,                0.91579,                0.82966,                0.88195,                0.70624,                 0.7194,                0.50822,                0.98657,              0.0018445,              0.0018445,              0.0018445
                     21,                 0.4307,                0.32256,                0.83682,                0.92537,                0.83243,                0.90446,                0.74038,                0.72077,                0.48858,                 1.0052,              0.0018364,              0.0018364,              0.0018364
                     22,                0.38062,                0.29325,                0.81351,                0.92716,                0.81504,                0.89216,                0.72993,                0.73634,                0.53253,                 1.0195,              0.0018282,              0.0018282,              0.0018282
                     23,                0.38153,                0.29286,                0.81233,                0.91648,                0.81471,                0.88712,                0.72189,                 0.7263,                0.52184,                 1.0292,                0.00182,                0.00182,                0.00182
                     24,                0.35053,                0.27031,                0.80137,                0.91261,                0.83941,                0.90319,                0.74163,                0.71013,                0.49643,                 1.0052,              0.0018118,              0.0018118,              0.0018118
                     25,                0.35096,                0.27615,                0.80388,                0.89017,                0.85026,                0.88904,                0.72345,                 0.6971,                0.49575,                 1.0107,              0.0018036,              0.0018036,              0.0018036
                     26,                0.33941,                0.26694,                0.80008,                0.92523,                0.81608,                0.89053,                0.72657,                0.70766,                0.50771,                  1.022,              0.0017955,              0.0017955,              0.0017955
                     27,                 0.3323,                0.26102,                0.79557,                0.93017,                 0.8166,                 0.8954,                0.73656,                0.67677,                 0.4873,                0.98992,              0.0017873,              0.0017873,              0.0017873
                     28,                 0.3143,                0.25026,                0.79344,                0.90434,                 0.8114,                0.87246,                0.71436,                0.69766,                0.52592,                 1.0028,              0.0017791,              0.0017791,              0.0017791
                     29,                0.30502,                 0.2417,                0.79068,                0.89475,                0.84332,                0.89618,                0.74163,                0.66151,                0.48572,                0.97471,              0.0017709,              0.0017709,              0.0017709
                     30,                0.29663,                0.23783,                0.78705,                0.90823,                0.83599,                0.89766,                0.73925,                0.67292,                0.46735,                0.98845,              0.0017627,              0.0017627,              0.0017627
                     31,                0.28659,                0.23065,                0.78491,                0.91414,                0.84741,                 0.9037,                0.74748,                 0.6813,                0.47991,                 1.0012,              0.0017545,              0.0017545,              0.0017545
                     32,                0.27902,                0.22542,                0.78597,                0.89638,                0.83674,                0.90634,                0.75935,                0.65927,                0.47264,                0.98724,              0.0017464,              0.0017464,              0.0017464
                     33,                0.27227,                0.22514,                0.78333,                0.91847,                0.81349,                0.89479,                0.74742,                0.67398,                0.47403,                0.99105,              0.0017382,              0.0017382,              0.0017382
                     34,                0.26694,                0.21731,                0.78197,                0.90482,                0.83787,                0.88806,                0.74076,                0.66659,                0.46464,                0.99695,                0.00173,                0.00173,                0.00173
                     35,                0.25127,                0.21036,                0.78092,                0.93786,                0.80381,                0.89443,                0.75119,                0.65671,                0.46245,                 0.9876,              0.0017218,              0.0017218,              0.0017218
                     36,                  0.244,                0.20235,                0.77867,                0.92737,                0.83651,                0.89631,                0.75159,                0.64901,                0.45517,                0.97696,              0.0017136,              0.0017136,              0.0017136
                     37,                0.25226,                0.20965,                0.77724,                0.90455,                 0.8406,                 0.8903,                0.74806,                0.63333,                0.45665,                0.97975,              0.0017055,              0.0017055,              0.0017055
                     38,                0.23463,                0.19676,                0.77624,                 0.9126,                0.81091,                0.87191,                0.71635,                0.65206,                 0.4741,                0.98907,              0.0016973,              0.0016973,              0.0016973
                     39,                0.23074,                 0.1956,                0.77368,                0.91775,                0.80564,                0.87169,                0.71212,                0.65242,                0.46309,                 0.9972,              0.0016891,              0.0016891,              0.0016891
                     40,                0.22893,                0.19193,                0.77546,                0.88623,                0.83787,                0.87731,                0.72547,                0.64439,                0.48917,                0.99285,              0.0016809,              0.0016809,              0.0016809
                     41,                 0.2229,                0.18994,                0.77255,                0.89672,                0.82804,                0.89679,                0.75078,                0.65912,                0.48625,                 1.0015,              0.0016727,              0.0016727,              0.0016727
                     42,                0.21873,                0.18739,                0.77221,                0.93328,                 0.8194,                 0.9068,                0.75827,                 0.6369,                0.44274,                0.98426,              0.0016645,              0.0016645,              0.0016645
                     43,                0.20823,                0.17798,                0.77081,                0.90165,                0.83686,                0.90236,                0.75193,                0.64736,                0.45201,                0.99765,              0.0016564,              0.0016564,              0.0016564
                     44,                0.20958,                0.17825,                0.76955,                0.91691,                0.83924,                0.89948,                0.75432,                 0.6337,                0.44784,                0.98813,              0.0016482,              0.0016482,              0.0016482
                     45,                0.21075,                0.18041,                 0.7696,                0.88241,                0.82698,                0.87901,                0.72738,                0.64663,                0.46527,                0.99178,                0.00164,                0.00164,                0.00164
                     46,                0.20759,                 0.1765,                0.76933,                0.90159,                0.82425,                0.85076,                0.69936,                0.63955,                0.51162,                0.98961,              0.0016318,              0.0016318,              0.0016318
                     47,                0.20497,                0.17647,                 0.7689,                0.90297,                0.83681,                0.89742,                0.76161,                0.62591,                0.46188,                 0.9829,              0.0016236,              0.0016236,              0.0016236
                     48,                0.19863,                0.17463,                0.76738,                0.90056,                0.82671,                0.87716,                0.72705,                0.63766,                0.46779,                0.99037,              0.0016155,              0.0016155,              0.0016155
                     49,                0.19296,                0.17069,                0.76898,                0.93339,                0.80186,                0.86051,                0.71281,                0.64824,                0.43847,                 1.0108,              0.0016073,              0.0016073,              0.0016073
                     50,                0.19139,                0.16817,                0.76886,                0.91672,                0.80926,                0.88866,                0.73249,                0.63778,                 0.4561,                 1.0002,              0.0015991,              0.0015991,              0.0015991
                     51,                0.18913,                0.16652,                0.76679,                0.91623,                0.83441,                0.86685,                0.72407,                0.61802,                0.45117,                0.97364,              0.0015909,              0.0015909,              0.0015909
                     52,                0.18588,                0.16227,                0.76707,                0.91282,                0.82153,                 0.8805,                0.73532,                0.63981,                0.45192,                0.99177,              0.0015827,              0.0015827,              0.0015827
                     53,                0.18429,                0.15918,                0.76813,                0.92994,                 0.8079,                0.88928,                0.74427,                0.62736,                0.43561,                0.98761,              0.0015745,              0.0015745,              0.0015745
